"Qty";"Value";"Device";"Package";"Parts";"Description";"LINK";"MFG";"MPN";"VALUE";
"3";"0.01uF@25V";"C0.01UF0603";"0603";"C4, C5, C7";"";"";"TDK";"C1608C0G1E103J080AA";"0.01uF@25V";
"1";"1.43MOhm";"R1.43M";"0603";"R7";"";"";"Vishay";"CRCW06031M43FKEA";"1.43MOhm";
"22";"11mF";"C";"CPH3225A-2K";"C1, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29";"";"";"Seiko Instruments ";" CPH3225A-2K ";"11mF";
"1";"15MOhm";"R15M";"0603";"R2";"";"";"Vishay";"CRCW060315M0JPEAHR";"15MOhm";
"1";"22uH@700mA";"L22UH";"LPS4018-223M";"L1";"";"";"coilcraft";" LPS4018-223MRB ";"22uH@700mA";
"1";"4.02MOhm";"R4.02M";"0603";"R3";"";"";"Vishay";"CRCW06034M02FKEA";"4.02MOhm";
"1";"4.22MOhm";"R4.22M";"0603";"R8";"";"";"Vishay";"CRCW06034M22FKEA";"4.22MOhm";
"3";"4.42MOhom";"R4.42M";"0603";"R1, R4, R9";"";"";"Vishay";"CRCW06034M42FKEA";"4.42MOhom";
"4";"4.7uF";"C4.7UF0603";"0603";"C2, C3, C6, C8";"";"";"Samsung";"CL10A475MP5LNNC";"4.7uF";
"2";"44mA@0.5V";"SOLAR-CELL";"KXOB22-12X1F";"D1, D2";"";"https://www.digikey.com/product-detail/en/ixys/KXOB22-12X1F/KXOB22-12X1F-ND/4840079";"IXYS";" KXOB22-12X1F ";"44mA@0.5V";
"1";"47k";"R47K";"0603";"R10";"";"";"Vishay";"CRCW251247K0JNEG";"47k";
"1";"5.60MOhm";"R5.60";"0603";"R5";"";"";"Vishay";"CRCW06035M60FKEA";"5.60MOhm";
"1";"5.9MOhm";"R5.9M";"0603";"R6";"";"";"Vishay";"CRCW06035M90FKEA";"5.9MOhm";
"1";"BQ25504";"BQ25504";"VQFN-16";"U1";"";"";"TI";"BQ25504";"";
"1";"MSP430FR2512IPW16RSOIC";"MSP430FR2512IPW16RSOIC";"SOP65P640X120-16";"U3";"";"";"ti";"  MSP430FR2512IPW16";"";
"1";"PIN-1-10";"PIN-1-10";"PIN-100MIL-1-10";"J1";"";"";"";"";"";
"1";"PIN-1-2";"PIN-1-2";"PIN-100MIL-1-2";"J4";"";"";"";"";"";
"2";"PIN-1-4";"PIN-1-4";"PIN-100MIL-1-4";"J2, J3";"";"";"";"";"";
"2";"R";"R";"0603";"R11, R12";"";"";"";"";"";
